,from1,to,walktime,distance,popularity,category,rideDuration
1,1,2,2710.79804955462,3768.00928888092,0,Mixed Use,0
2,1,3,2775.70934739259,3858.23599287569,0,Place Of Assembly,0
3,1,4,2477.91688699281,3444.30447292001,0,Leisure/Recreation,0
4,1,5,2396.01674009676,3330.4632687345,0,Place of Worship,0
5,1,6,2535.79377316411,3524.75334469811,0,Place of Worship,0
6,1,7,2506.3402332157,3483.81292416983,0,Place of Worship,0
7,1,8,1944.8038805439,2703.27739395602,0,Place of Worship,0
8,1,9,1509.45770165556,2098.14620530122,0,Place of Worship,0
9,1,10,2220.741564415,3086.83077453685,0,Place of Worship,0
10,1,11,2207.34725857174,3068.21268941471,0,Place of Worship,0
11,1,12,2366.23159108743,3289.06191161153,0,Place of Worship,0
12,1,13,2808.06088430124,3903.20462917873,0,Place of Worship,0
13,1,14,2823.23233977262,3924.29295228394,0,Place of Worship,0
14,1,15,2966.17340339944,4122.98103072522,0,Place of Worship,0
15,1,16,2853.6203833733,3966.53233288888,0,Place of Worship,0
16,1,17,2939.18535925644,4085.46764936646,0,Place of Worship,0
17,1,18,3464.12423417865,4815.13268550832,0,Place of Worship,0
18,1,19,3157.76655027776,4389.29550488609,0,Place of Worship,0
19,1,20,1340.55820295317,1863.37590210491,0,Place of Worship,0
20,1,21,3420.53487946331,4754.543482454,0,Place of Worship,0
21,1,22,1977.45671978256,2748.66484049775,0,Place of Worship,0
22,1,23,2222.43284484734,3089.18165433781,0,Place of Worship,0
23,1,24,609.526198190818,847.241415485237,0,Place of Worship,0
24,1,25,725.094042165581,1007.88071861016,0,Place of Worship,0
25,1,26,506.199410614634,703.617180754341,0,Place of Worship,0
26,1,27,858.335951759985,1193.08697294638,0,Place of Worship,0
27,1,28,871.021605286575,1210.72003134834,0,Place of Worship,0
28,1,29,2796.25329465537,3886.79207957097,0,Place of Worship,0
29,1,30,4455.18699123558,6192.70991781746,0,Place of Worship,0
30,1,31,5125.80529778831,7124.86936392574,0,Place of Worship,0
31,1,32,5001.80872489518,6952.5141276043,0,Place of Worship,0
32,1,33,1398.25313747851,1943.57186109512,0,Health Services,0
33,1,34,2772.62630738655,3853.95056726731,0,Place of Worship,0
